file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\objectoriented\SmartTube\exoplayer-amzn-2.10.6\testutils\src\main\java\com\google\android\exoplayer2\testutil\FakeClock.java,com.google.android.exoplayer2.testutil.FakeClock$HandlerMessageData,innerclass,1,1,0,1,5,1,0,2,0,0.0,1.0,1.0,3,0,3,0,0,0,3,0,0,0,4,0,0,4,0,0,4,0,0,30,2,0,1,0,0,0,1,8,0,4,2,0,0,0,40,26,0
D:\objectoriented\SmartTube\exoplayer-amzn-2.10.6\library\core\src\main\java\com\google\android\exoplayer2\metadata\id3\CommentFrame.java,com.google.android.exoplayer2.metadata.id3.CommentFrame,class,6,9,3,6,12,2,0,6,0,0.36666667,1.0,1.0,6,0,5,0,0,1,6,0,0,0,5,2,5,0,0,0,5,0,6,52,5,0,6,0,3,3,7,13,7,7,1,1,0,0,38,17,0
D:\objectoriented\SmartTube\leanback-1.0.0\src\main\java\androidx\leanback\widget\SectionRow.java,androidx.leanback.widget.SectionRow,class,2,2,0,2,4,2,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\objectoriented\SmartTube\fragment-1.1.0\src\main\java\androidx\fragment\app\Fragment.java,androidx.fragment.app.Fragment$SavedState$Anonymous2,anonymous,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,-1,0
D:\objectoriented\SmartTube\exoplayer-amzn-2.10.6\library\core\src\main\java\com\google\android\exoplayer2\audio\AudioTrackPositionTracker.java,com.google.android.exoplayer2.audio.AudioTrackPositionTracker$Listener,interface,0,0,0,0,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,0
D:\objectoriented\SmartTube\exoplayer-amzn-2.10.6\library\core\src\main\java\com\google\android\exoplayer2\offline\SegmentDownloader.java,com.google.android.exoplayer2.offline.SegmentDownloader$ResourcePoolProvider,innerclass,2,2,0,2,4,1,0,3,0,0.33333334,0.6666667,1.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,2,0,0,18,2,0,0,1,0,0,0,2,0,2,1,0,0,0,14,10,0
D:\objectoriented\SmartTube\chatkit\src\main\java\com\stfalcon\chatkit\messages\MessageHolders.java,com.stfalcon.chatkit.messages.MessageHolders$OutcomingImageMessageViewHolder,innerclass,11,11,0,11,12,5,0,19,9,0.5833334,0.1,0.1,6,0,4,1,1,0,5,0,1,0,2,0,0,0,2,0,0,0,0,42,1,0,5,0,1,1,1,2,0,2,1,0,0,0,51,9,0
D:\objectoriented\SmartTube\leanback-1.0.0\src\main\java\androidx\leanback\widget\GuidedActionAutofillSupport.java,androidx.leanback.widget.GuidedActionAutofillSupport$OnAutofillListener,interface,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0
D:\objectoriented\SmartTube\smarttubetv\src\main\java\com\liskovsoft\smartyoutubetv2\tv\presenter\ChannelCardPresenter.java,com.liskovsoft.smartyoutubetv2.tv.presenter.ChannelCardPresenter,class,16,18,2,16,11,3,0,32,6,0.74,0.16666667,0.16666667,5,0,3,1,1,0,4,0,0,0,10,1,0,10,0,0,2,0,3,75,2,0,1,0,0,0,1,21,0,23,2,1,0,1,51,1,1
D:\objectoriented\SmartTube\exoplayer-amzn-2.10.6\testutils_robolectric\src\main\java\com\google\android\exoplayer2\testutil\DefaultRenderersFactoryAsserts.java,com.google.android.exoplayer2.testutil.DefaultRenderersFactoryAsserts,class,8,9,1,8,9,1,0,11,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,49,1,3,0,0,0,0,0,8,0,3,3,2,0,2,62,17,0
D:\objectoriented\SmartTube\exoplayer-amzn-2.10.6\library\core\src\main\java\com\google\android\exoplayer2\RendererConfiguration.java,com.google.android.exoplayer2.RendererConfiguration,class,2,10,8,2,7,1,0,1,0,0.5,1.0,1.0,3,0,3,0,0,0,3,0,0,0,2,1,2,0,0,0,2,0,0,20,4,0,4,0,0,0,0,3,0,3,1,0,0,0,38,17,0
D:\objectoriented\SmartTube\exoplayer-amzn-2.10.6\library\core\src\main\java\com\google\android\exoplayer2\extractor\DefaultExtractorsFactory.java,com.google.android.exoplayer2.extractor.DefaultExtractorsFactory,class,24,27,3,24,20,1,0,4,33,0.8181819,0.16666667,0.8333333,11,0,11,0,0,0,12,0,0,10,10,1,0,10,0,0,1,0,1,88,10,0,2,2,3,3,20,28,0,12,2,0,0,0,134,17,0
D:\objectoriented\SmartTube\exoplayer-amzn-2.10.6\library\core\src\main\java\com\google\android\exoplayer2\source\ConcatenatingMediaSource.java,com.google.android.exoplayer2.source.ConcatenatingMediaSource$HandlerAndRunnable,innerclass,1,1,0,1,2,1,0,1,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,0,11,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,26,0
D:\objectoriented\SmartTube\exoplayer-amzn-2.10.6\extensions\flac\src\main\java\com\google\android\exoplayer2\ext\flac\FlacExtractor.java,com.google.android.exoplayer2.ext.flac.FlacExtractor$FlacSeekMap,innerclass,4,4,0,4,5,1,0,1,2,0.5,0.33333334,0.5,4,0,4,0,0,0,4,0,0,0,2,0,0,2,0,0,2,0,0,18,3,0,1,0,0,0,0,3,0,3,0,0,0,0,24,26,0
D:\objectoriented\SmartTube\fragment-1.1.0\src\main\java\androidx\fragment\app\FragmentTransaction.java,androidx.fragment.app.FragmentTransaction$Op,innerclass,3,3,0,3,3,1,0,0,1,0.66666675,0.33333334,0.33333334,3,0,0,0,0,3,3,0,0,0,8,0,0,0,0,8,0,0,0,24,0,0,0,0,0,0,0,8,0,8,0,0,0,0,15,24,0
D:\objectoriented\SmartTube\leanback-1.0.0\src\main\java\androidx\leanback\graphics\FitWidthBitmapDrawable.java,androidx.leanback.graphics.FitWidthBitmapDrawable$Anonymous2,anonymous,1,1,0,1,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,-1,0
D:\objectoriented\SmartTube\exoplayer-amzn-2.10.6\demos\main\src\main\java\com\google\android\exoplayer2\demo\DownloadTracker.java,com.google.android.exoplayer2.demo.DownloadTracker$DownloadManagerListener,innerclass,4,4,0,4,4,1,0,3,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,1,0,0,0,9,2,0
D:\objectoriented\SmartTube\common\src\main\java\com\liskovsoft\smartyoutubetv2\common\exoplayer\controller\PlayerView.java,com.liskovsoft.smartyoutubetv2.common.exoplayer.controller.PlayerView,interface,1,3,2,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
