file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\objectoriented\metersphere\backend\framework\domain\src\main\java\io\metersphere\load\domain\LoadTestFileExample.java,io.metersphere.load.domain.LoadTestFileExample,class,3,5,2,3,12,2,0,4,13,0.6363637,0.38181818,0.8181818,11,0,10,0,1,0,11,0,0,0,3,0,0,0,3,0,0,0,0,312,6,0,1,0,0,0,1,8,0,6,1,0,3,0,23,1,0
D:\objectoriented\metersphere\backend\framework\domain\src\main\java\io\metersphere\ui\domain\UiScenarioReportExample.java,io.metersphere.ui.domain.UiScenarioReportExample,class,3,5,2,3,12,2,0,4,13,0.6363637,0.38181818,0.8181818,11,0,10,0,1,0,11,0,0,0,3,0,0,0,3,0,0,0,0,1016,6,0,1,0,0,0,1,8,0,6,1,0,3,0,23,1,0
D:\objectoriented\metersphere\backend\framework\sdk\src\main\java\io\metersphere\sdk\constants\ProjectApplicationType.java,io.metersphere.sdk.constants.ProjectApplicationType$LOAD_TEST,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
D:\objectoriented\metersphere\backend\services\project-management\src\test\java\io\metersphere\project\controller\ProjectStatusFlowSettingControllerTest.java,io.metersphere.project.controller.ProjectStatusFlowSettingControllerTest,class,26,27,1,26,11,2,0,67,12,0.82222235,0.42857143,0.53571427,9,0,7,1,1,0,8,0,0,0,15,10,0,15,0,0,8,0,6,180,1,0,1,0,0,22,7,28,0,31,2,0,0,0,85,1,0
D:\objectoriented\metersphere\backend\services\system-setting\src\test\java\io\metersphere\system\controller\OrganizationCustomFieldControllerTests.java,io.metersphere.system.controller.OrganizationCustomFieldControllerTests,class,31,32,1,31,21,2,0,85,44,0.83974355,0.39285713,0.53571427,12,0,7,4,1,0,8,0,0,0,13,4,0,13,0,0,2,0,4,240,3,3,1,0,0,25,19,49,0,58,2,0,0,2,105,1,0
D:\objectoriented\metersphere\backend\services\api-test\src\main\java\io\metersphere\api\listener\DebugListener.java,io.metersphere.api.listener.DebugListener,class,5,6,1,5,6,1,0,13,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,1,1,1,0,0,1,0,0,24,0,0,1,1,0,7,0,3,1,3,3,0,0,0,34,1,4
D:\objectoriented\metersphere\backend\services\system-setting\src\main\java\io\metersphere\system\utils\RelationshipEdgeUtils.java,io.metersphere.system.utils.RelationshipEdgeUtils,class,3,4,1,3,18,1,0,29,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,75,3,3,2,0,0,2,0,10,0,12,3,0,0,3,42,1,0
D:\objectoriented\metersphere\backend\framework\plugin\plugin-platform-sdk\src\main\java\io\metersphere\plugin\platform\dto\request\PluginOptionsRequest.java,io.metersphere.plugin.platform.dto.request.PluginOptionsRequest,class,2,4,2,2,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,5,0,0,0,0,0,0,1,1,0,3,0,0,0,0,16,1,0
D:\objectoriented\metersphere\backend\services\case-management\src\main\java\io\metersphere\functional\dto\CaseCustomFieldDTO.java,io.metersphere.functional.dto.CaseCustomFieldDTO,class,4,5,1,4,5,1,0,3,0,0.33333334,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,1,0,3,0,0,1,0,3,14,4,0,3,0,0,3,1,2,0,4,1,0,0,0,30,1,0
D:\objectoriented\metersphere\backend\services\system-setting\src\main\java\io\metersphere\system\dto\permission\PermissionDefinition.java,io.metersphere.system.dto.permission.PermissionDefinition,class,3,3,0,3,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,0,1,0,0,5,0,0,0,0,0,0,1,1,0,3,0,0,0,0,13,1,0
